#layer,exec_idx,name,op,bytes,last_use
0,0,ffn_moe_gate-0,MUL_MAT_ID,49152,1
0,1,ffn_moe_gate_clamped-0,CLAMP,49152,4
0,2,ffn_moe_up-0,MUL_MAT_ID,49152,3
0,3,ffn_moe_up_clamped-0,CLAMP,49152,4
0,4,ffn_moe_swiglu_limited-0,GLU,49152,5
0,5,ffn_moe_down-0,MUL_MAT_ID,98304,6
0,6,ffn_moe_weighted-0,MUL,98304,11
0,7,node_101,ADD,16384,8
0,8,node_102,ADD,16384,9
0,9,node_103,ADD,16384,10
0,10,node_104,ADD,16384,11
0,11,ffn_moe_out-0,ADD,16384,-1
1,0,ffn_moe_gate-1,MUL_MAT_ID,49152,1
1,1,ffn_moe_gate_clamped-1,CLAMP,49152,4
1,2,ffn_moe_up-1,MUL_MAT_ID,49152,3
1,3,ffn_moe_up_clamped-1,CLAMP,49152,4
1,4,ffn_moe_swiglu_limited-1,GLU,49152,5
1,5,ffn_moe_down-1,MUL_MAT_ID,98304,6
1,6,ffn_moe_weighted-1,MUL,98304,11
1,7,node_212,ADD,16384,8
1,8,node_213,ADD,16384,9
1,9,node_214,ADD,16384,10
1,10,node_215,ADD,16384,11
1,11,ffn_moe_out-1,ADD,16384,-1
2,0,ffn_moe_gate-2,MUL_MAT_ID,49152,1
2,1,ffn_moe_gate_clamped-2,CLAMP,49152,4
2,2,ffn_moe_up-2,MUL_MAT_ID,49152,3
2,3,ffn_moe_up_clamped-2,CLAMP,49152,4
2,4,ffn_moe_swiglu_limited-2,GLU,49152,5
2,5,ffn_moe_down-2,MUL_MAT_ID,98304,6
2,6,ffn_moe_weighted-2,MUL,98304,11
2,7,node_460,ADD,16384,8
2,8,node_461,ADD,16384,9
2,9,node_462,ADD,16384,10
2,10,node_463,ADD,16384,11
2,11,ffn_moe_out-2,ADD,16384,-1
3,0,ffn_moe_gate-3,MUL_MAT_ID,49152,1
3,1,ffn_moe_gate_clamped-3,CLAMP,49152,4
3,2,ffn_moe_up-3,MUL_MAT_ID,49152,3
3,3,ffn_moe_up_clamped-3,CLAMP,49152,4
3,4,ffn_moe_swiglu_limited-3,GLU,49152,5
3,5,ffn_moe_down-3,MUL_MAT_ID,98304,6
3,6,ffn_moe_weighted-3,MUL,98304,11
3,7,node_611,ADD,16384,8
3,8,node_612,ADD,16384,9
3,9,node_613,ADD,16384,10
3,10,node_614,ADD,16384,11
3,11,ffn_moe_out-3,ADD,16384,-1
4,0,ffn_moe_gate-4,MUL_MAT_ID,49152,1
4,1,ffn_moe_gate_clamped-4,CLAMP,49152,4
4,2,ffn_moe_up-4,MUL_MAT_ID,49152,3
4,3,ffn_moe_up_clamped-4,CLAMP,49152,4
4,4,ffn_moe_swiglu_limited-4,GLU,49152,5
4,5,ffn_moe_down-4,MUL_MAT_ID,98304,6
4,6,ffn_moe_weighted-4,MUL,98304,11
4,7,node_861,ADD,16384,8
4,8,node_862,ADD,16384,9
4,9,node_863,ADD,16384,10
4,10,node_864,ADD,16384,11
4,11,ffn_moe_out-4,ADD,16384,-1
5,0,ffn_moe_gate-5,MUL_MAT_ID,49152,1
5,1,ffn_moe_gate_clamped-5,CLAMP,49152,4
5,2,ffn_moe_up-5,MUL_MAT_ID,49152,3
5,3,ffn_moe_up_clamped-5,CLAMP,49152,4
5,4,ffn_moe_swiglu_limited-5,GLU,49152,5
5,5,ffn_moe_down-5,MUL_MAT_ID,98304,6
5,6,ffn_moe_weighted-5,MUL,98304,11
5,7,node_1012,ADD,16384,8
5,8,node_1013,ADD,16384,9
5,9,node_1014,ADD,16384,10
5,10,node_1015,ADD,16384,11
5,11,ffn_moe_out-5,ADD,16384,-1
6,0,ffn_moe_gate-6,MUL_MAT_ID,49152,1
6,1,ffn_moe_gate_clamped-6,CLAMP,49152,4
6,2,ffn_moe_up-6,MUL_MAT_ID,49152,3
6,3,ffn_moe_up_clamped-6,CLAMP,49152,4
6,4,ffn_moe_swiglu_limited-6,GLU,49152,5
6,5,ffn_moe_down-6,MUL_MAT_ID,98304,6
6,6,ffn_moe_weighted-6,MUL,98304,11
6,7,node_1262,ADD,16384,8
6,8,node_1263,ADD,16384,9
6,9,node_1264,ADD,16384,10
6,10,node_1265,ADD,16384,11
6,11,ffn_moe_out-6,ADD,16384,-1
7,0,ffn_moe_gate-7,MUL_MAT_ID,49152,1
7,1,ffn_moe_gate_clamped-7,CLAMP,49152,4
7,2,ffn_moe_up-7,MUL_MAT_ID,49152,3
7,3,ffn_moe_up_clamped-7,CLAMP,49152,4
7,4,ffn_moe_swiglu_limited-7,GLU,49152,5
7,5,ffn_moe_down-7,MUL_MAT_ID,98304,6
7,6,ffn_moe_weighted-7,MUL,98304,11
7,7,node_1413,ADD,16384,8
