#layer,exec_idx,name,op,bytes,last_use
0,0,ffn_moe_gate_up-0,MUL_MAT_ID,45056,1
0,1,ffn_moe_geglu-0,GLU,22528,2
0,2,node_54,MUL_MAT_ID,90112,5
0,3,node_56,REPEAT,512,4
0,4,node_57,GET_ROWS,32,5
0,5,ffn_moe_down_scaled-0,MUL,90112,6
0,6,ffn_moe_weighted-0,MUL,90112,13
0,7,node_68,ADD,11264,8
0,8,node_69,ADD,11264,9
0,9,node_70,ADD,11264,10
0,10,node_71,ADD,11264,11
0,11,node_72,ADD,11264,12
0,12,node_73,ADD,11264,13
0,13,ffn_moe_out-0,ADD,11264,-1
1,0,ffn_moe_gate_up-1,MUL_MAT_ID,45056,1
1,1,ffn_moe_geglu-1,GLU,22528,2
1,2,node_142,MUL_MAT_ID,90112,5
1,3,node_144,REPEAT,512,4
1,4,node_145,GET_ROWS,32,5
1,5,ffn_moe_down_scaled-1,MUL,90112,6
1,6,ffn_moe_weighted-1,MUL,90112,13
1,7,node_156,ADD,11264,8
1,8,node_157,ADD,11264,9
1,9,node_158,ADD,11264,10
1,10,node_159,ADD,11264,11
1,11,node_160,ADD,11264,12
1,12,node_161,ADD,11264,13
1,13,ffn_moe_out-1,ADD,11264,-1
2,0,ffn_moe_gate_up-2,MUL_MAT_ID,45056,1
2,1,ffn_moe_geglu-2,GLU,22528,2
2,2,node_230,MUL_MAT_ID,90112,5
2,3,node_232,REPEAT,512,4
2,4,node_233,GET_ROWS,32,5
2,5,ffn_moe_down_scaled-2,MUL,90112,6
2,6,ffn_moe_weighted-2,MUL,90112,13
2,7,node_244,ADD,11264,8
2,8,node_245,ADD,11264,9
2,9,node_246,ADD,11264,10
2,10,node_247,ADD,11264,11
2,11,node_248,ADD,11264,12
2,12,node_249,ADD,11264,13
2,13,ffn_moe_out-2,ADD,11264,-1
3,0,ffn_moe_gate_up-3,MUL_MAT_ID,45056,1
3,1,ffn_moe_geglu-3,GLU,22528,2
3,2,node_318,MUL_MAT_ID,90112,5
3,3,node_320,REPEAT,512,4
3,4,node_321,GET_ROWS,32,5
3,5,ffn_moe_down_scaled-3,MUL,90112,6
3,6,ffn_moe_weighted-3,MUL,90112,13
3,7,node_332,ADD,11264,8
3,8,node_333,ADD,11264,9
3,9,node_334,ADD,11264,10
3,10,node_335,ADD,11264,11
3,11,node_336,ADD,11264,12
3,12,node_337,ADD,11264,13
3,13,ffn_moe_out-3,ADD,11264,-1
4,0,ffn_moe_gate_up-4,MUL_MAT_ID,45056,1
4,1,ffn_moe_geglu-4,GLU,22528,2
4,2,node_406,MUL_MAT_ID,90112,5
4,3,node_408,REPEAT,512,4
4,4,node_409,GET_ROWS,32,5
4,5,ffn_moe_down_scaled-4,MUL,90112,6
4,6,ffn_moe_weighted-4,MUL,90112,13
4,7,node_420,ADD,11264,8
4,8,node_421,ADD,11264,9
4,9,node_422,ADD,11264,10
4,10,node_423,ADD,11264,11
4,11,node_424,ADD,11264,12
4,12,node_425,ADD,11264,13
4,13,ffn_moe_out-4,ADD,11264,-1
5,0,ffn_moe_gate_up-5,MUL_MAT_ID,45056,1
5,1,ffn_moe_geglu-5,GLU,22528,2
5,2,node_493,MUL_MAT_ID,90112,5
5,3,node_495,REPEAT,512,4
5,4,node_496,GET_ROWS,32,5
5,5,ffn_moe_down_scaled-5,MUL,90112,6
5,6,ffn_moe_weighted-5,MUL,90112,13
5,7,node_507,ADD,11264,8
5,8,node_508,ADD,11264,9
5,9,node_509,ADD,11264,10
5,10,node_510,ADD,11264,11
5,11,node_511,ADD,11264,12
5,12,node_512,ADD,11264,13
5,13,ffn_moe_out-5,ADD,11264,-1
6,0,ffn_moe_gate_up-6,MUL_MAT_ID,45056,1
6,1,ffn_moe_geglu-6,GLU,22528,2
6,2,node_581,MUL_MAT_ID,90112,5
6,3,node_583,REPEAT,512,4
6,4,node_584,GET_ROWS,32,5
6,5,ffn_moe_down_scaled-6,MUL,90112,6
6,6,ffn_moe_weighted-6,MUL,90112,13
6,7,node_595,ADD,11264,8
6,8,node_596,ADD,11264,9
6,9,node_597,ADD,11264,10
6,10,node_598,ADD,11264,11
6,11,node_599,ADD,11264,12
6,12,node_600,ADD,11264,13
6,13,ffn_moe_out-6,ADD,11264,-1
7,0,ffn_moe_gate_up-7,MUL_MAT_ID,45056,1
7,1,ffn_moe_geglu-7,GLU,22528,2
7,2,node_669,MUL_MAT_ID,90112,5
7,3,node_671,REPEAT,512,4
7,4,node_672,GET_ROWS,32,5
7,5,ffn_moe_down_scaled-7,MUL,90112,6
7,6,ffn_moe_weighted-7,MUL,90112,13
7,7,node_683,ADD,11264,8
7,8,node_684,ADD,11264,9
7,9,node_685,ADD,11264,10
7,10,node_686,ADD,11264,11
7,11,node_687,ADD,11264,12
7,12,node_688,ADD,11264,13
7,13,ffn_moe_out-7,ADD,11264,-1
8,0,ffn_moe_gate_up-8,MUL_MAT_ID,45056,1
8,1,ffn_moe_geglu-8,GLU,22528,2
8,2,node_757,MUL_MAT_ID,90112,5
8,3,node_759,REPEAT,512,4
8,4,node_760,GET_ROWS,32,5
8,5,ffn_moe_down_scaled-8,MUL,90112,6
8,6,ffn_moe_weighted-8,MUL,90112,13
8,7,node_771,ADD,11264,8
8,8,node_772,ADD,11264,9
8,9,node_773,ADD,11264,10
8,10,node_774,ADD,11264,11
8,11,node_775,ADD,11264,12
8,12,node_776,ADD,11264,13
8,13,ffn_moe_out-8,ADD,11264,-1
9,0,ffn_moe_gate_up-9,MUL_MAT_ID,45056,1
9,1,ffn_moe_geglu-9,GLU,22528,2
9,2,node_845,MUL_MAT_ID,90112,5
9,3,node_847,REPEAT,512,4
9,4,node_848,GET_ROWS,32,5
9,5,ffn_moe_down_scaled-9,MUL,90112,6
9,6,ffn_moe_weighted-9,MUL,90112,13
9,7,node_859,ADD,11264,8
9,8,node_860,ADD,11264,9
9,9,node_861,ADD,11264,10
9,10,node_862,ADD,11264,11
9,11,node_863,ADD,11264,12
9,12,node_864,ADD,11264,13
9,13,ffn_moe_out-9,ADD,11264,-1
10,0,ffn_moe_gate_up-10,MUL_MAT_ID,45056,1
10,1,ffn_moe_geglu-10,GLU,22528,2
10,2,node_933,MUL_MAT_ID,90112,5
10,3,node_935,REPEAT,512,4
10,4,node_936,GET_ROWS,32,5
10,5,ffn_moe_down_scaled-10,MUL,90112,6
10,6,ffn_moe_weighted-10,MUL,90112,13
10,7,node_947,ADD,11264,8
10,8,node_948,ADD,11264,9
10,9,node_949,ADD,11264,10
10,10,node_950,ADD,11264,11
10,11,node_951,ADD,11264,12
10,12,node_952,ADD,11264,13
10,13,ffn_moe_out-10,ADD,11264,-1
11,0,ffn_moe_gate_up-11,MUL_MAT_ID,45056,1
11,1,ffn_moe_geglu-11,GLU,22528,2
11,2,node_1020,MUL_MAT_ID,90112,5
11,3,node_1022,REPEAT,512,4
11,4,node_1023,GET_ROWS,32,5
11,5,ffn_moe_down_scaled-11,MUL,90112,6
11,6,ffn_moe_weighted-11,MUL,90112,13
11,7,node_1034,ADD,11264,8
11,8,node_1035,ADD,11264,9
11,9,node_1036,ADD,11264,10
11,10,node_1037,ADD,11264,11
11,11,node_1038,ADD,11264,12
11,12,node_1039,ADD,11264,13
11,13,ffn_moe_out-11,ADD,11264,-1
12,0,ffn_moe_gate_up-12,MUL_MAT_ID,45056,1
12,1,ffn_moe_geglu-12,GLU,22528,2
12,2,node_1108,MUL_MAT_ID,90112,5
12,3,node_1110,REPEAT,512,4
12,4,node_1111,GET_ROWS,32,5
12,5,ffn_moe_down_scaled-12,MUL,90112,6
12,6,ffn_moe_weighted-12,MUL,90112,13
12,7,node_1122,ADD,11264,8
12,8,node_1123,ADD,11264,9
12,9,node_1124,ADD,11264,10
12,10,node_1125,ADD,11264,11
12,11,node_1126,ADD,11264,12
12,12,node_1127,ADD,11264,13
12,13,ffn_moe_out-12,ADD,11264,-1
13,0,ffn_moe_gate_up-13,MUL_MAT_ID,45056,1
13,1,ffn_moe_geglu-13,GLU,22528,2
13,2,node_1196,MUL_MAT_ID,90112,5
13,3,node_1198,REPEAT,512,4
13,4,node_1199,GET_ROWS,32,5
13,5,ffn_moe_down_scaled-13,MUL,90112,6
13,6,ffn_moe_weighted-13,MUL,90112,13
13,7,node_1210,ADD,11264,8
13,8,node_1211,ADD,11264,9
13,9,node_1212,ADD,11264,10
13,10,node_1213,ADD,11264,11
13,11,node_1214,ADD,11264,12
13,12,node_1215,ADD,11264,13
13,13,ffn_moe_out-13,ADD,11264,-1
14,0,ffn_moe_gate_up-14,MUL_MAT_ID,45056,1
14,1,ffn_moe_geglu-14,GLU,22528,2
14,2,node_1284,MUL_MAT_ID,90112,5
14,3,node_1286,REPEAT,512,4
14,4,node_1287,GET_ROWS,32,5
14,5,ffn_moe_down_scaled-14,MUL,90112,6
14,6,ffn_moe_weighted-14,MUL,90112,13
14,7,node_1298,ADD,11264,8
14,8,node_1299,ADD,11264,9
14,9,node_1300,ADD,11264,10
14,10,node_1301,ADD,11264,11
14,11,node_1302,ADD,11264,12
14,12,node_1303,ADD,11264,13
14,13,ffn_moe_out-14,ADD,11264,-1
15,0,ffn_moe_gate_up-15,MUL_MAT_ID,45056,1
15,1,ffn_moe_geglu-15,GLU,22528,2
15,2,node_1372,MUL_MAT_ID,90112,5
15,3,node_1374,REPEAT,512,4
15,4,node_1375,GET_ROWS,32,5
15,5,ffn_moe_down_scaled-15,MUL,90112,6
15,6,ffn_moe_weighted-15,MUL,90112,13
15,7,node_1386,ADD,11264,8
15,8,node_1387,ADD,11264,9
15,9,node_1388,ADD,11264,10
15,10,node_1389,ADD,11264,11
15,11,node_1390,ADD,11264,12
15,12,node_1391,ADD,11264,13
15,13,ffn_moe_out-15,ADD,11264,-1
16,0,ffn_moe_gate_up-16,MUL_MAT_ID,45056,1
16,1,ffn_moe_geglu-16,GLU,22528,2
16,2,node_1460,MUL_MAT_ID,90112,5
16,3,node_1462,REPEAT,512,4
16,4,node_1463,GET_ROWS,32,5
16,5,ffn_moe_down_scaled-16,MUL,90112,6
16,6,ffn_moe_weighted-16,MUL,90112,13
16,7,node_1474,ADD,11264,8
16,8,node_1475,ADD,11264,9
16,9,node_1476,ADD,11264,10
16,10,node_1477,ADD,11264,11
16,11,node_1478,ADD,11264,12
16,12,node_1479,ADD,11264,13
16,13,ffn_moe_out-16,ADD,11264,-1
17,0,ffn_moe_gate_up-17,MUL_MAT_ID,45056,1
17,1,ffn_moe_geglu-17,GLU,22528,2
17,2,node_1547,MUL_MAT_ID,90112,5
17,3,node_1549,REPEAT,512,4
17,4,node_1550,GET_ROWS,32,5
17,5,ffn_moe_down_scaled-17,MUL,90112,6
17,6,ffn_moe_weighted-17,MUL,90112,13
17,7,node_1561,ADD,11264,8
17,8,node_1562,ADD,11264,9
17,9,node_1563,ADD,11264,10
17,10,node_1564,ADD,11264,11
17,11,node_1565,ADD,11264,12
17,12,node_1566,ADD,11264,13
17,13,ffn_moe_out-17,ADD,11264,-1
18,0,ffn_moe_gate_up-18,MUL_MAT_ID,45056,1
18,1,ffn_moe_geglu-18,GLU,22528,2
18,2,node_1635,MUL_MAT_ID,90112,5
18,3,node_1637,REPEAT,512,4
18,4,node_1638,GET_ROWS,32,5
18,5,ffn_moe_down_scaled-18,MUL,90112,6
18,6,ffn_moe_weighted-18,MUL,90112,13
18,7,node_1649,ADD,11264,8
18,8,node_1650,ADD,11264,9
18,9,node_1651,ADD,11264,10
18,10,node_1652,ADD,11264,11
18,11,node_1653,ADD,11264,12
18,12,node_1654,ADD,11264,13
18,13,ffn_moe_out-18,ADD,11264,-1
19,0,ffn_moe_gate_up-19,MUL_MAT_ID,45056,1
19,1,ffn_moe_geglu-19,GLU,22528,2
19,2,node_1723,MUL_MAT_ID,90112,5
19,3,node_1725,REPEAT,512,4
19,4,node_1726,GET_ROWS,32,5
19,5,ffn_moe_down_scaled-19,MUL,90112,6
19,6,ffn_moe_weighted-19,MUL,90112,13
19,7,node_1737,ADD,11264,8
19,8,node_1738,ADD,11264,9
19,9,node_1739,ADD,11264,10
19,10,node_1740,ADD,11264,11
19,11,node_1741,ADD,11264,12
19,12,node_1742,ADD,11264,13
19,13,ffn_moe_out-19,ADD,11264,-1
20,0,ffn_moe_gate_up-20,MUL_MAT_ID,45056,1
20,1,ffn_moe_geglu-20,GLU,22528,2
20,2,node_1811,MUL_MAT_ID,90112,5
20,3,node_1813,REPEAT,512,4
20,4,node_1814,GET_ROWS,32,5
20,5,ffn_moe_down_scaled-20,MUL,90112,6
20,6,ffn_moe_weighted-20,MUL,90112,13
20,7,node_1825,ADD,11264,8
20,8,node_1826,ADD,11264,9
20,9,node_1827,ADD,11264,10
20,10,node_1828,ADD,11264,11
20,11,node_1829,ADD,11264,12
20,12,node_1830,ADD,11264,13
20,13,ffn_moe_out-20,ADD,11264,-1
21,0,ffn_moe_gate_up-21,MUL_MAT_ID,45056,1
21,1,ffn_moe_geglu-21,GLU,22528,2
21,2,node_1899,MUL_MAT_ID,90112,5
21,3,node_1901,REPEAT,512,4
21,4,node_1902,GET_ROWS,32,5
21,5,ffn_moe_down_scaled-21,MUL,90112,6
21,6,ffn_moe_weighted-21,MUL,90112,13
